left,right,margin
leader,5Ef8XtevYiZXPdNRoQyVCgnqqs9WkhA3BNFfBoL9yb5a3ixA,-0.9921875
leader,5F4HaNQJAXDhirU51GTz4vBvcEuUo3YSfhKuBT7qix35DkHP,0.0234375
leader,5GTRip78cyK3Vp1MQZR9kMbPCugaw7xHj5Qq8XLL9FZMtne4,-0.9921875
leader,5EZpt79UEt8QRxbHDFaiup4pg9f1yYUWpJwYuFt3NfF7TzJF,-0.9921875
leader,5FePECsVyZnnuoRmpZMsR99k88ysUsWcMaBfhjjNnYT7WM1h,-0.9921875
leader,5Gv4MJXCUkR9SkmL42nmDdxNZGPG8i8fdPbK5Su8ForEbxbg,-0.9921875
leader,5DFHd4oBNQPf6PS65qD3HCopaVHBMw9cMdnGZNjqDgPwJLXf,-0.9921875
leader,5Gv3cZBdTfTprhcPGwaE8gdFUNworEW2Kp17aJdd1UsCKFWu,-0.9921875
leader,5E7BUrU7gbpKTBka78kDdca3NkoZfLVR9jfY8dzd16TzTHAF,-0.9921875
leader,5FNcV78YvFSf5PktTCY3ubnYV9QZah9tDwpM8ojehX1L7Lon,-0.140625
leader,5DceQoyt9V6MiHrhZVMwHQyxLK1TbTokADZsueDxk1PP4eyS,-0.140625
leader,5DAReTiraW6yP6g4S68QiccGpJdUpLnNB1nFXBLz3nWsuBDH,-0.125
leader,5HSx9Uf4RatAtEPt9UN1KksVnSsZjLfyr5SYxKeABFLEKxNW,-0.203125
leader,5Dhie1cz1a987kPFkvsVwxjKEg2uUMbSgm5N5vq6Drr8mDFH,-0.0546875
leader,5FefWwMu1yF6Gjk6preRyvuQsnxS57upHBpkd9u5B9pePzvX,-0.9921875
leader,5EU1ViScfctLpaFGwL1uSQFCDvoyCfLRwYxTDtR37x7HteDH,-0.09375
leader,5GgpGaDxzTyBAME1Ju9ZhUstWj2VTm1n4tAUkRHLi4birQZg,-0.9921875
leader,5E9YfJF8RwsUmq4RdDWAtXJhq1cRvBDFeTtHrmo1mEHwT3pA,-0.9921875
leader,5CwGtXp12GZnUHwQYJcdkVgZeaBVmMXy34spKkYy3aLcc9Ti,-0.9921875
leader,5H9bvDjbYHpCwDfPkcak8wVSAPtkCfb6n9MpVMAvRD3JMkbL,-0.9921875
leader,5GGsuLzc5aTW6n6CWtrncf4aYmePuVKHDemjdgHQyqY5ea1Y,-0.9921875
leader,5E5A9q65xzJm8VToNSA898tG4AhjL7H6Ssenmrv3SDn3EtJ8,-0.9921875
leader,5H8tBgXeefX2fxLNVxCTUaKwH51CwrbsgwBansX1zkhJfE9M,-0.0625
leader,5HjdXk6yrJBGrGGa6gdfAvRjg36NZj9nmeXYsyisja63AVZa,-0.0234375
leader,5CXvBgQnppdt15ahvxoWiy12442eyswD6eayRuMVgbzvLCWT,-0.1953125
leader,5HarQiFfwbph9TLQjZnev8MvTB8u1ZpKyZ8VRYsAsJK2bWUa,-0.1171875
leader,5GCKsefFMQzbeLtX7iqDPpnybzYUyDquANSinWYo666LLGgf,-0.140625
leader,5Ebm5cRFAzkHGtq3myyvnL3w6GVSPrAy4LY6HSFMNdQLnomj,-0.0546875
leader,5GH72o2fzUNd9FZk86qGKJ9wmWfTQhqXXecUN8HB7cF1mY5U,-0.1953125
leader,5HNgV24igSZcrocncRFEu8p93J5sg6bKSAhAVrbPg2gypVRF,-0.109375
leader,5FeVpzoXk4zJyX32PfzyTy2eg1aGN6esg9T9UHK4w49Ta7LJ,-0.1640625
leader,5CZztA7b6RWpmm94YPt4mXQzmdfewBgcKobE4TqknQPdyk1m,-0.734375
leader,5CodJrac9gXRCbzzm5Bdi1BkFzotcvPjwXkQnGmttPdztzPH,-0.953125
leader,5DcQs3LcdM2SQDTNb1sfPqrGWKBh9sgk2G97RhQzvqsZup2w,-0.0234375
leader,5GmnqjwWjdcA41g3wZtWwkrK2EJKb2Adq5Y5PHWqJoe7gVGL,-0.046875
leader,5Fq1Sd89raFdT6CTcUz9fn71RUr5se8rhyogDDQhnfSQFyEY,-0.9921875
leader,5DMGiRs5XvJZE6hnWa3hNS4eYTXkpRKfzSbg348h2jZ88kZF,-0.0078125
leader,5Hghp1edZftVbLL7ZfdCWUSzGRCHdbLK7ahvnxJPH9gVGusU,-0.1328125
leader,5Hp2QFzczuFSVey56cwrgs2AFPbHRLpnqNG7apF5pJRJCy8b,0.015625
